Ranking,Nombre,Cargo,Patrimonio_Mill.euros,Ranking_2017,Ranking_Sexo,Ranking_CCAA,Valor_bolsa.100,Variacion_patrimonio.100,Variacion_patrimonio,Sector,Empresas,Descripcion,CCAA,Familia
200,Eduardo Santos-Ruiz Díaz,Accionista principal de Barón de Ley,220,167,83,7,100,-8.3,-20,"Vino, Alimentación",Barón de Ley,"Mazuelo Hólding, la sociedad que comparte con su esposa, Cristina García-Morales, controla el 47,84% de la bodega con más valor en la Bolsa, 457 millones al término de 2017.                                Sus cuatro fincas, situadas en la DO de La Rioja, suman 660 hectáreas. El monasterio benedictino de Imas, en Mendavia (Navarra), del siglo XVI, es la sede social de la empresa y aloja parte de las bodegas.                                Barón de Ley no llega a los 200 empleados. La familia Santos la controla desde 1997.                                En el capital de la bodega toman parte, además, el navarro Julio Noain (1,7%), de la familia fundadora; Rafael Domínguez de Gor (5,4%), dueño de Mayoral; fondos de inversión del Santander (5%), y la mutualidad norteamericana T. Rowe Price (3%).                            ",Castilla y León,NA
199,José Luis Díaz-Varela Somoza y familia,Fundador y dueño de Grupo Indukern,220,174,99,15,0,-4.3,-10,"Industria, Cosmética",Indukern,"El Grupo Indukern -el laboratorio veterinario Calier y la farmacéutica Kern Pharma-, 100% propiedad de los gallegos Díaz-Varela, se ha hecho un hueco entre los grandes laboratorios del país.                                Las ventas del grupo bajaron un 4% en 2016 (725 millones) debido a su desinversión en Rusia y en Turquía. El grupo factura un 40% fuera de España y acaba de desembarcar en EEUU.                                Raúl Díaz-Varela Bertschinger lleva las riendas de la empresa mientras que su padre, el fundador en los años 60, ocupa la presidencia.                                En octubre de 2017, los Díaz-Varela trasladaron su sede desde El Prat de Barcelona al Paseo de la Castellana de Madrid. No así la de sus laboratios Kern Pharma, que siguen en Terrassa.                            ",Galicia,Familia
198,Familia González Gordon,Dueños de González Byass,220,194,98,14,0,10,20,"Vino, Alimentación",González Byass,"Los descendientes de la saga González-Gordon Díez controlan mediante sociedades en Holanda y Luxemburgo las cavas más representativas de Jerez de la Frontera y, según los críticos, la mejor bodega española.                                Dueños de Tío Pepe y Beronia, su proyección internacional se extiende por 100 países, y sus viñedos y fincas, por las principales denominaciones españolas.                                Las bodegas cifran su patrimonio neto en 215 millones de euros y emplean a 600 trabajadores (2016).                                Sus siete viñedos suman 1.990 hectáreas, la mayoría localizadas en Chile (Veramonte) y Aragón (Pagos del Vero).                                Este año abrirá en Jerez su primer hotel, el primer ""Sherry Hotel"" del mundo, asegura la empresa, en la bodega Tío Pepe, la más visitada de Europa.                            ",Andalucía,NA
197,Ignacio Mencos Valdés y familia,Propietario de El Arverjal y Silicius Socimi,220,NA,82,39,0,NA,NA,Inmuebles,"El Arverjal, Silicius Socimi","Teresa Micaela Valdés Ozores y sus seis hijos, con Ignacio Mencos Valdés a la cabeza, se reparten la sociedad familiar El Arverjal, con sede en Madrid.                                La firma aporta el grueso de los activos inmobiliarios (en torno a 120 millones) de la socimi Silicius Inmuebles en Rentabilidad, que ultima su salida a Bolsa.                                Paraje de Valdenazar, una de sus filiales, es dueña del campo de golf de Valdeluz, en Yebes, Guadalajara.                                Su división hotelera es dueña de los Hoteles Pax (Guadalajara, y Atocha y Torrelodones, en Madrid). También posee el 10% del fondo Gala Capital y Omega Delivery (80%).                                Coincide con Sandra Ortega, Mesonero Romanos y la familia Martínez (Bodegas Faustino), en el capital del fondo luxemburgués DB Real Estate, dueño del hotel Penha Longa (Lisboa) y otros proyectos inmobiliarios en Portugal.                            ",Madrid,Familia
196,Rosario Lafita González-Gayarra y Víctor Ruiz-Rubio,Accionista de Azkoyen. Inverlasa,220,195,81,38,41.4,10,20,"Industria, Automoción","Inverlasa, Azkoyen","Inverlasa, su hólding empresarial, cifra su patrimonio en 202 millones (2016). Azkoyen su participada más conocida, se revalorizó un 36% en 2017.                                El fabricante de frenos Icer Brakes, otra firma navarra como Azkoyen, es la punta de lanza de su división industrial, con una planta en Tudela y sede en Pamplona.                                Su participada Alvicorp (33%), una constructora con activos de 50 millones y sede en Madrid, se declaró en quiebra en 2016.                                Otra de sus inversiones es la plataforma logística Friologic, con tres nodos en Santander, Mercamadrid y Vitoria.                                Chelverton, con activos valorados en 134 millones, es propietaria del Parque Comercial Camino Real, a las afueras de Madrid.                            ",Madrid,NA
195,Santos Montoro Muñoz,Propietario de Monthisa,220,NA,80,9,0,NA,NA,Inmuebles,Monthisa,"Santos Montoro Muñoz heredó de su padre Monthisa, una inmobiliaria murciana creada en 1968 en la que trabajó codo con codo y que, tras sobrevivir a la crisis, opera en el centro-sur peninsular.                                Su filial Monthisa Real Estate prepara su salida a Bolsa. Cuenta con una cartera de unos 250 millones, incluidos los bajos comerciales de El Corte Inglés de Castellana, en Madrid.                                Es dueña de tres edificios en Madrid (la sede de Correos en Madrid entre ellos) y es el casero de Universal Music y Hugo Boss en Berlín. Tiene a la venta 15 promociones, su cartera de suelo se reparte por andalucía, Murcia, Madrid y Valladolid, y es uno de los gestores de confianza de Sareb.                                En agosto de 2015, Montoro e Hijos absorbió la sociedad suiza Glarona Holding Freinchbach SL, que poseía el 41,17% de la matriz y guardaba 78 millones en el país transalpino.                                Begoña Montoro, hija del presidente de Monthisa, dirige la Oficina Comercial española en Suiza.                            ",Murcia,NA
194,Antoni Vila Casas,Fundador de Prodesfarma y mecenas,230,176,79,55,63.9,0,0,Inmuebles,Terránea Diet,"Varias sicav con más de 140 millones coronan el patrimonio del famarcéutico y mecenas catalán, ordenado en torno a la sociedad Terránea Diet y la Corporación Fundación Privada Vila Casas.                                El resto lo guarda en una cartera inmobiliaria con edificios señeros, como la Casa Felip (Ausias Marc 20), en Barcelona, la sede de sus negocios.                                Su colección reúne 3.000 piezas de arte catalán y se muestra en varios museos de su propiedad -Can Framis, Can Mario y Palau Soltera- repartidos por Cataluña.                                Creó su fundación en 1984. Sin hijos, su deseo es que ésta aglutine su fortuna y arrope su legado, todo un testimonio artístico de cataluña.                            ",Cataluña,NA
193,José García-Carrión Jordán,Dueño de Grupo García Carrión,230,185,78,8,0,9.5,20,"Vino, Alimentación",García Carrión,"La sociedad familiar Priesca controla el primer comercializador de vino de Europa por ventas y quinto del mundo.                                Dueña de los vinos Don Simón y Señorío de los Llanos, García Carrión nació en Jumilla (Murcia) en 1890. Emplea a 800 personas en cuatro plantas y diez bodegas. Entre sus marcas destacan Mayor de Castilla, Viña Arnaiz, Pata Negra, Marqués de Carrión, Antaño, Pata Negra, El Mayoral (Mercadona) o Jaume Serra. En zumos, Don Simón es la segunda marca de Europa.                                En 2005, diversas cajas de ahorros entraron en el capital para financiar su expansión nacional e internacional. En 2014, la familia recuperó el 100% del capital gracias a un crédito de 250 millones de euros.                                El negocio del Grupo cae levemente desde hace tres años. En 2016, las ventas fueron de 671 millones, lejos de su objetivo de superar los 1.000 millones en los próximos años.                                En 2016 adquirió las históricas Bodegas Paternina, en Haro (La Rioja) a la familia Eguizábal.                            ",Murcia,NA
192,Jaume Roures Llop,Socio y fundador de Mediapro,230,NA,77,54,0,NA,NA,Comunicación,"Imagina, Mediapro","En otoño, Imagina Media (12%), la productora que fundó en 1994 junto a Tatxo Benet y Gerard Romy, fue valorada en 1.600 millones.                                Juan Abelló, la familia Azcárraga (Televisa) y Romy salieron del capital (sumaban el 53%), tras vender a la china Orient Hontai Capital.                                Roures controla sus empresas a través de la sociedad Mediacable, que invierte también en inmuebles y empresas de restauración.                                Display Connectors, una de sus filiales, es propietaria del diario Público, que ha cumplido 10 años.                            ",Cataluña,NA
191,Familia Quesada Ibáñez,Dueña de Pavasal,230,169,97,16,6.8,-4.2,-10,"Construcción, Contratas",Pavasal,"Los hermanos Quesada Ibáñez se reparten Pavasal, un hólding de servicios y obra civil que opera en Valencia. Alfredo y José Luis Quesada son su cabeza visible.                                Factura 170 millones (2016) y suma 500 trabajadores. Pasaval controla párkings, constructoras y edificaciones. La tercera generación se ha hecho cargo de la empresa.                                En 2017 entró en el capital de la socimi Saint Croix holding (5%), vinculada a la familia Colomer (Pryconsa), donde Mónica Quesada Herrero es consejera.                                En 2007, Pasaval asfaltó el circuito urbano de Fórmula 1 de Valencia. Entonces José Luis Quesada era el representante de Bancaja Hábitat en el Banco de Valencia (2007-2011), del que salió el mismo día que dimitió Juan José Olivas.                                Javier Quesada es catedrático de Análisis Económico de la Universidad de Valencia y presidente de los Premios Jaime I.                            ",Comunidad Valenciana,NA
